epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19924,1.41037,2.30704,1.07723,0.99745,0.21694,0.39976,0.24675,1.3325,2.02251,1.04166,0.000471266,0.000471266,0.000471266
2,9.77452,1.28542,1.382,1.04751,0.97465,0.46006,0.59871,0.37686,1.28126,1.04216,1.04448,0.000938218,0.000938218,0.000938218
3,13.7954,1.30541,1.2573,1.0662,0.7343,0.60755,0.6667,0.44574,1.27707,1.00977,1.07055,0.00139574,0.00139574,0.00139574
4,18.0948,1.25498,1.18438,1.05199,0.83453,0.75559,0.86217,0.55978,1.31349,0.99896,1.06505,0.00138656,0.00138656,0.00138656
5,22.131,1.26525,1.12273,1.06509,0.80401,0.81494,0.88352,0.57569,1.2732,0.90337,1.05897,0.00137241,0.00137241,0.00137241
6,26.8772,1.25387,0.98407,1.06088,0.94375,0.80217,0.89287,0.60691,1.26335,0.82398,1.06307,0.00135826,0.00135826,0.00135826
7,31.2061,1.25355,0.96241,1.04851,0.91695,0.82568,0.9055,0.61594,1.22189,0.75926,1.03557,0.00134412,0.00134412,0.00134412
8,35.2829,1.20069,0.87729,1.02917,0.93699,0.82729,0.947,0.6302,1.21663,0.71091,1.01948,0.00132997,0.00132997,0.00132997
9,39.1043,1.2209,1.03715,1.03794,0.96024,0.80891,0.91782,0.60461,1.23742,0.72415,1.02764,0.00131582,0.00131582,0.00131582
10,42.9424,1.14861,1.14161,1.01095,0.93502,0.80291,0.91646,0.57888,1.28051,0.77492,1.02976,0.00130168,0.00130168,0.00130168
11,46.8572,1.19742,0.90117,1.03815,0.95418,0.88888,0.94813,0.64633,1.21449,0.7504,1.04348,0.00128753,0.00128753,0.00128753
12,50.8332,1.2022,0.82737,1.02543,0.87677,0.8038,0.90713,0.61841,1.2257,0.73063,1.052,0.00127338,0.00127338,0.00127338
13,54.7003,1.15331,0.79918,1.02178,0.96778,0.75473,0.94441,0.62805,1.19816,0.68298,1.01911,0.00125923,0.00125923,0.00125923
14,58.5655,1.19069,0.7775,1.03344,0.86724,0.89716,0.96074,0.60115,1.21999,0.69793,1.03147,0.00124509,0.00124509,0.00124509
15,62.4154,1.20292,0.85823,1.05755,0.89243,0.92045,0.96728,0.59593,1.24667,0.72057,1.07563,0.00123094,0.00123094,0.00123094
16,66.3803,1.16225,0.75782,1.03019,0.93154,0.83997,0.94008,0.60797,1.20952,0.67002,1.03823,0.00121679,0.00121679,0.00121679
17,70.2386,1.16313,0.75106,1.03173,0.83792,0.9308,0.94364,0.62301,1.197,0.68937,1.04057,0.00120265,0.00120265,0.00120265
18,74.0872,1.12269,0.7141,1.00635,0.82373,0.97218,0.95126,0.60106,1.24929,0.65695,1.04868,0.0011885,0.0011885,0.0011885
19,77.9453,1.13327,0.72132,0.99503,0.91903,0.8905,0.95291,0.59273,1.21581,0.67925,1.03378,0.00117435,0.00117435,0.00117435
20,81.8446,1.12165,0.70322,1.00736,0.93125,0.87062,0.9601,0.60849,1.18044,0.65696,1.02729,0.00116021,0.00116021,0.00116021
21,85.8461,1.11298,0.67168,0.9977,0.96849,0.92677,0.98334,0.6541,1.15728,0.62871,1.00422,0.00114606,0.00114606,0.00114606
22,89.8556,1.12567,0.69541,1.01448,0.93033,0.95124,0.98476,0.62526,1.19401,0.63197,1.03493,0.00113191,0.00113191,0.00113191
23,94.8149,1.14689,0.68771,1.0049,0.91525,0.932,0.97312,0.62304,1.18358,0.6274,1.01797,0.00111776,0.00111776,0.00111776
24,99.4883,1.1425,0.70664,1.01664,0.90765,0.90801,0.96372,0.64645,1.22102,0.633,1.02796,0.00110362,0.00110362,0.00110362
25,103.577,1.16245,0.69039,1.0314,0.98352,0.9236,0.98202,0.65453,1.18478,0.62227,1.03161,0.00108947,0.00108947,0.00108947
26,107.569,1.14162,0.65503,1.01166,0.94061,0.8768,0.9695,0.64074,1.16339,0.62574,1.01095,0.00107532,0.00107532,0.00107532
27,111.351,1.12282,0.64419,1.00054,0.88278,0.89364,0.95423,0.63474,1.18799,0.60654,1.0253,0.00106118,0.00106118,0.00106118
28,115.248,1.09995,0.61066,0.99128,0.90438,0.89338,0.97848,0.65047,1.17333,0.60995,1.00774,0.00104703,0.00104703,0.00104703
29,119.177,1.10981,0.65735,1.01763,0.91496,0.94933,0.9824,0.65802,1.17528,0.61145,1.00398,0.00103288,0.00103288,0.00103288
30,123.167,1.10223,0.63085,0.99356,0.89933,0.87819,0.97696,0.65225,1.1973,0.62855,1.02935,0.00101873,0.00101873,0.00101873
31,127.054,1.11443,0.64235,0.99462,0.9154,0.95864,0.97367,0.63757,1.17544,0.62803,1.01135,0.00100459,0.00100459,0.00100459
32,131.025,1.09837,0.62154,0.99696,0.87607,0.97035,0.97288,0.62637,1.18923,0.60539,1.02317,0.00099044,0.00099044,0.00099044
33,134.992,1.10829,0.65214,0.99738,0.89665,0.96641,0.97455,0.65771,1.17451,0.58853,1.01808,0.000976293,0.000976293,0.000976293
34,139.041,1.0988,0.60879,1.00666,0.97457,0.98492,0.99189,0.6534,1.1852,0.58798,1.00839,0.000962146,0.000962146,0.000962146
35,143.144,1.09659,0.63042,0.99436,0.9691,0.89161,0.98275,0.65358,1.16542,0.58375,1.01457,0.000947999,0.000947999,0.000947999
36,147.175,1.08014,0.61138,0.99493,0.98108,0.88243,0.98169,0.63592,1.16213,0.59529,1.0248,0.000933851,0.000933851,0.000933851
37,151.079,1.08196,0.60129,1.00091,0.92074,0.9187,0.98073,0.65177,1.17006,0.59179,1.03624,0.000919704,0.000919704,0.000919704
38,155.063,1.06315,0.58528,0.97725,0.96427,0.93567,0.98372,0.66685,1.18857,0.58468,1.02041,0.000905557,0.000905557,0.000905557
39,159.257,1.10472,0.62227,0.99084,0.97824,0.94128,0.98958,0.64898,1.18771,0.59148,1.02398,0.00089141,0.00089141,0.00089141
40,164.203,1.06631,0.58422,0.97866,0.97398,0.98105,0.99261,0.65897,1.15221,0.57076,1.01155,0.000877263,0.000877263,0.000877263
41,168.611,1.07704,0.59324,0.99246,0.87355,0.96464,0.96922,0.66318,1.1391,0.60292,1.01721,0.000863116,0.000863116,0.000863116
42,172.712,1.08072,0.59102,0.99509,0.97195,0.83129,0.9549,0.63586,1.17226,0.57185,1.01964,0.000848969,0.000848969,0.000848969
43,176.676,1.09658,0.56773,0.99184,0.94643,0.92202,0.98366,0.66026,1.15091,0.58497,1.01777,0.000834822,0.000834822,0.000834822
44,180.575,1.07557,0.58364,0.9856,0.95276,0.90853,0.98271,0.66055,1.16335,0.57715,1.02076,0.000820675,0.000820675,0.000820675
45,184.522,1.07231,0.56684,0.99386,0.97513,0.93832,0.98642,0.66139,1.14572,0.56318,1.00572,0.000806528,0.000806528,0.000806528
46,188.472,1.05813,0.56264,0.97699,0.99175,0.92921,0.98788,0.62514,1.19953,0.56992,1.02758,0.00079238,0.00079238,0.00079238
47,192.436,1.09212,0.57699,0.99082,0.99169,0.95712,0.98883,0.62523,1.16251,0.57642,1.0132,0.000778233,0.000778233,0.000778233
