epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30823,1.35165,2.26975,1.0476,0.43657,0.52847,0.4477,0.26974,1.22295,2.87604,0.98587,0.000466199,0.000466199,0.000466199
2,7.78741,1.29431,1.35896,1.06343,0.86852,0.45515,0.60117,0.39262,1.2395,1.56049,1.01106,0.000933201,0.000933201,0.000933201
3,11.0533,1.30475,1.24987,1.05722,0.61438,0.58663,0.66604,0.40313,1.26437,0.90519,1.04291,0.00139077,0.00139077,0.00139077
4,14.3882,1.23664,1.1015,1.03225,0.47785,0.77689,0.71373,0.47217,1.17663,0.88262,1.01281,0.00138656,0.00138656,0.00138656
5,17.8759,1.25824,1.04612,1.0505,0.68141,0.825,0.85415,0.53204,1.21698,0.81809,1.01553,0.00137241,0.00137241,0.00137241
6,21.5116,1.18077,0.92943,1.0175,0.95874,0.79645,0.88488,0.57848,1.22148,0.78403,1.00289,0.00135826,0.00135826,0.00135826
7,24.879,1.20826,0.92006,1.02691,0.93881,0.79939,0.88655,0.62424,1.15279,0.69976,1.02044,0.00134412,0.00134412,0.00134412
8,28.3639,1.19145,0.90181,1.02874,0.93455,0.76036,0.88777,0.58853,1.17873,0.74718,1.0125,0.00132997,0.00132997,0.00132997
9,31.6475,1.16369,0.85813,1.02103,0.98079,0.81236,0.94143,0.62557,1.18062,0.67156,0.99661,0.00131582,0.00131582,0.00131582
10,34.9754,1.17594,0.82365,1.00976,0.97535,0.79293,0.92146,0.62168,1.21503,0.68785,1.01652,0.00130168,0.00130168,0.00130168
11,38.3344,1.16701,0.80532,1.01118,0.90261,0.75006,0.88756,0.62156,1.2079,0.65098,1.02884,0.00128753,0.00128753,0.00128753
12,42.3149,1.17988,0.78105,1.01281,0.89121,0.8339,0.9022,0.63804,1.15249,0.6441,1.00235,0.00127338,0.00127338,0.00127338
13,46.0855,1.14862,0.74147,1.00935,0.87157,0.9075,0.94365,0.62852,1.19126,0.64281,1.01831,0.00125923,0.00125923,0.00125923
14,49.5932,1.16575,0.77898,1.01545,0.88302,0.94053,0.96928,0.61085,1.17614,0.6342,1.00379,0.00124509,0.00124509,0.00124509
15,52.9537,1.14015,0.72015,1.00483,0.98394,0.87725,0.97158,0.62076,1.15923,0.60973,1.00735,0.00123094,0.00123094,0.00123094
16,56.2764,1.15841,0.73601,1.0106,0.8771,0.94068,0.96543,0.60747,1.11553,0.61978,0.99457,0.00121679,0.00121679,0.00121679
17,59.5238,1.1363,0.68509,1.00284,0.92841,0.91173,0.97063,0.65425,1.16559,0.61723,0.99871,0.00120265,0.00120265,0.00120265
18,62.8033,1.1259,0.68528,0.99694,0.98709,0.81995,0.95444,0.64759,1.16416,0.63057,1.01313,0.0011885,0.0011885,0.0011885
19,66.065,1.13137,0.6884,1.00036,0.95389,0.89806,0.96012,0.63282,1.14959,0.60715,0.9923,0.00117435,0.00117435,0.00117435
20,69.3348,1.12613,0.66458,1.00034,0.93607,0.83452,0.93455,0.62329,1.15713,0.61624,1.01679,0.00116021,0.00116021,0.00116021
21,72.6176,1.1085,0.66244,0.99925,0.94205,0.89031,0.95451,0.64045,1.16413,0.63736,1.0024,0.00114606,0.00114606,0.00114606
22,75.9723,1.09571,0.65142,0.98281,0.84893,0.94702,0.96212,0.63303,1.13688,0.59374,1.00386,0.00113191,0.00113191,0.00113191
23,79.5225,1.09396,0.65197,0.99439,0.91982,0.93663,0.98151,0.66303,1.17621,0.60847,1.00991,0.00111776,0.00111776,0.00111776
24,82.8264,1.10018,0.66031,1.00011,0.93698,0.83617,0.961,0.63536,1.14524,0.62637,1.00824,0.00110362,0.00110362,0.00110362
25,86.1052,1.11401,0.64027,1.00262,0.97852,0.83925,0.95656,0.64592,1.12996,0.59558,1.00635,0.00108947,0.00108947,0.00108947
26,89.4276,1.11704,0.63137,1.00569,0.96214,0.96988,0.98813,0.65202,1.14948,0.58633,1.01779,0.00107532,0.00107532,0.00107532
27,92.7347,1.08394,0.61613,0.98986,0.96969,0.92309,0.98918,0.66529,1.11713,0.56383,1.0068,0.00106118,0.00106118,0.00106118
28,96.0796,1.0596,0.59946,0.97683,0.98077,0.92591,0.9886,0.68221,1.14302,0.59441,1.00346,0.00104703,0.00104703,0.00104703
29,99.3944,1.08673,0.61384,0.99452,0.98199,0.92778,0.98611,0.66107,1.12789,0.55901,1.01416,0.00103288,0.00103288,0.00103288
30,102.757,1.07331,0.59526,0.97248,0.90698,0.94441,0.96865,0.6473,1.16265,0.56087,1.00869,0.00101873,0.00101873,0.00101873
31,106.102,1.08898,0.59046,0.97883,0.98888,0.90928,0.9806,0.65228,1.13756,0.56912,0.99403,0.00100459,0.00100459,0.00100459
32,109.731,1.04971,0.58889,0.97506,0.97452,0.8787,0.97131,0.63956,1.1206,0.56553,0.99651,0.00099044,0.00099044,0.00099044
33,113.396,1.09781,0.58903,0.99633,0.92781,0.91029,0.97123,0.66439,1.12804,0.55883,1.01398,0.000976293,0.000976293,0.000976293
34,116.724,1.08986,0.58091,1.00022,0.89092,0.97858,0.98202,0.65717,1.13348,0.5535,1.0196,0.000962146,0.000962146,0.000962146
35,120.025,1.06981,0.5761,0.97946,0.94282,0.93722,0.98208,0.65842,1.15211,0.55499,0.99988,0.000947999,0.000947999,0.000947999
36,123.327,1.06753,0.57461,0.97227,0.94206,0.9122,0.98189,0.66161,1.1354,0.54939,0.9921,0.000933851,0.000933851,0.000933851
37,126.609,1.05095,0.57719,0.97235,0.96523,0.91499,0.98448,0.65958,1.11472,0.53874,0.98935,0.000919704,0.000919704,0.000919704
38,129.964,1.06423,0.56205,0.9824,0.92172,0.94637,0.98347,0.66649,1.11543,0.53382,0.99001,0.000905557,0.000905557,0.000905557
39,133.285,1.05666,0.56906,0.96629,0.96032,0.93709,0.98042,0.66956,1.10875,0.54058,0.99284,0.00089141,0.00089141,0.00089141
