epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.89421,1.24272,4.34835,0.00444,0.0279,0.46546,0.14859,0.09257,1.14027,3.70127,0.00483,0.00032867,0.00032867,0.00032867
2,10.0788,1.25373,3.36165,0.00459,0.01612,0.64878,0.14731,0.07596,1.10203,3.45921,0.00474,0.000664981,0.000664981,0.000664981
3,14.1116,1.26282,2.94014,0.00473,0.88017,0.06999,0.47323,0.29415,1.16142,2.78151,0.00492,0.000994501,0.000994501,0.000994501
4,18.1601,1.39717,2.48724,0.00497,0.76911,0.31491,0.53705,0.30807,1.20081,2.25856,0.00521,0.00131723,0.00131723,0.00131723
5,22.1426,1.35469,2.20691,0.00493,0.65333,0.51867,0.6472,0.40682,1.2709,1.65539,0.00548,0.00137241,0.00137241,0.00137241
6,26.2114,1.30695,1.91586,0.00456,0.68963,0.57964,0.64346,0.39743,1.29195,1.35915,0.00543,0.00135826,0.00135826,0.00135826
7,30.2606,1.26643,1.76293,0.00448,0.71623,0.5359,0.70998,0.47058,1.24843,1.06312,0.00511,0.00134412,0.00134412,0.00134412
8,34.3002,1.31394,1.67468,0.00483,0.64739,0.80162,0.78583,0.5019,1.25291,0.91971,0.00535,0.00132997,0.00132997,0.00132997
9,38.3497,1.29974,1.56572,0.00468,0.66937,0.74173,0.83846,0.54167,1.32066,0.95993,0.00553,0.00131582,0.00131582,0.00131582
10,42.5187,1.354,1.4894,0.00477,0.7431,0.63063,0.76797,0.50592,1.2368,0.85438,0.00537,0.00130168,0.00130168,0.00130168
11,46.6121,1.26727,1.46873,0.0047,0.6217,0.81409,0.79953,0.51516,1.23388,0.8013,0.00515,0.00128753,0.00128753,0.00128753
12,50.8044,1.25842,1.28702,0.00434,0.838,0.6451,0.79966,0.53212,1.23042,0.78571,0.00521,0.00127338,0.00127338,0.00127338
13,55.3706,1.20572,1.18067,0.00443,0.78343,0.75771,0.84885,0.57489,1.23842,0.79063,0.00495,0.00125923,0.00125923,0.00125923
14,59.6326,1.22272,1.14305,0.00444,0.82988,0.80982,0.86885,0.57393,1.25976,0.81258,0.00519,0.00124509,0.00124509,0.00124509
15,63.6909,1.23125,1.08126,0.00461,0.91323,0.69712,0.8801,0.57801,1.23667,0.78086,0.00507,0.00123094,0.00123094,0.00123094
16,67.8063,1.24033,1.02766,0.00421,0.74596,0.80993,0.88085,0.57558,1.22229,0.76115,0.00494,0.00121679,0.00121679,0.00121679
17,71.9033,1.1977,0.96441,0.00428,0.64487,0.93449,0.862,0.5791,1.24721,0.75645,0.0051,0.00120265,0.00120265,0.00120265
18,75.9992,1.20725,0.96456,0.00432,0.92531,0.74797,0.91366,0.55015,1.24038,0.74972,0.0051,0.0011885,0.0011885,0.0011885
19,80.1336,1.22593,0.87536,0.00418,0.8329,0.7842,0.89649,0.5748,1.2612,0.69403,0.00532,0.00117435,0.00117435,0.00117435
20,84.2556,1.22315,0.88134,0.00425,0.9042,0.84229,0.91528,0.57628,1.20978,0.63668,0.00495,0.00116021,0.00116021,0.00116021
21,88.3763,1.23737,0.88204,0.00438,0.85411,0.74289,0.87926,0.57664,1.22256,0.6352,0.00497,0.00114606,0.00114606,0.00114606
22,92.5303,1.25435,0.83518,0.00441,0.72784,0.85015,0.89696,0.5832,1.22664,0.64855,0.005,0.00113191,0.00113191,0.00113191
23,96.6352,1.1951,0.83701,0.00418,0.86059,0.83711,0.9177,0.58018,1.25568,0.66689,0.00513,0.00111776,0.00111776,0.00111776
24,100.741,1.25191,0.81399,0.00444,0.87594,0.7668,0.92261,0.58535,1.23451,0.64857,0.00497,0.00110362,0.00110362,0.00110362
25,104.853,1.23155,0.77321,0.00431,0.84617,0.73391,0.88524,0.57358,1.20422,0.66096,0.0048,0.00108947,0.00108947,0.00108947
26,108.922,1.18517,0.68485,0.00425,0.73994,0.85179,0.87864,0.574,1.21062,0.63754,0.00487,0.00107532,0.00107532,0.00107532
